City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,atuona,-9.8,-139.0333,26.98,72,7,7.13,PF,1687113807
67,palimbang,6.2106,124.1894,24.64,94,100,2.18,PH,1687113807
68,broome,42.2506,-75.833,23.9,61,75,4.63,US,1687113807
69,havoysund,70.9963,24.6622,6.13,74,97,4.68,NO,1687113807
70,port alfred,-33.5906,26.891,16.47,83,0,5.94,ZA,1687113808
71,kruisfontein,-34.0033,24.7314,12.71,88,84,1.46,ZA,1687113808
72,upata,8.0086,-62.3989,25.82,80,62,1.5,VE,1687113809
73,bani walid,31.7566,13.9942,26.07,30,0,6.45,LY,1687113809
74,carnarvon,-24.8667,113.6333,17.03,84,100,4.1,AU,1687113809
75,hilo,19.7297,-155.09,25.01,79,40,0.45,US,1687113650
76,puerto ayora,-0.7393,-90.3518,29.98,88,81,4.02,EC,1687113810
77,iqaluit,63.7506,-68.5145,4.85,70,40,3.6,CA,1687113810
78,cidreira,-30.1811,-50.2056,13.24,59,0,4.59,BR,1687113810
79,souillac,-20.5167,57.5167,22.21,56,40,5.14,MU,1687113811
80,avera,33.194,-82.5271,33.38,32,100,4.24,US,1687113811
81,cape town,-33.9258,18.4232,13.95,76,75,7.72,ZA,1687113570
82,flinders,-34.5833,150.8552,10.14,68,0,4.22,AU,1687113811
83,oistins,13.0667,-59.5333,31.05,70,40,5.66,BB,1687113811
84,kourou,5.1552,-52.6478,31.03,67,14,2.98,GF,1687113812
85,roma,43.2128,-75.4557,23.54,60,0,4.12,US,1687113812
86,fairbanks,64.8378,-147.7164,16.45,78,75,2.06,US,1687113600
87,gimli,50.6336,-96.9907,20.01,88,6,2.57,CA,1687113812
88,high level,58.5169,-117.136,16.06,59,75,3.09,CA,1687113601
89,kahului,20.8947,-156.47,27.2,65,20,5.66,US,1687113813
90,lakatoro,-16.0999,167.4164,22.83,76,86,4.18,VU,1687113813
91,saldanha,-33.0117,17.9442,13.03,76,100,8.73,ZA,1687113813
92,batangafo,7.3008,18.2833,25.31,77,100,1.57,CF,1687113814
93,oriximina,-1.7656,-55.8661,31.18,59,52,1.85,BR,1687113814
